id,skill,group,conceptType,reuse,priority,aliases
ESCO-CR-001,prospección de clientes,ventas_servicio,skill/competence,sector-specific,5,prospección de clientes
ESCO-CR-002,ventas consultivas,ventas_servicio,skill/competence,sector-specific,5,ventas consultivas
ESCO-CR-003,cierre de ventas,ventas_servicio,skill/competence,sector-specific,5,cierre de ventas
ESCO-CR-004,venta cruzada,ventas_servicio,skill/competence,sector-specific,5,venta cruzada
ESCO-CR-005,atención al cliente,ventas_servicio,skill/competence,sector-specific,5,atención al cliente
ESCO-CR-006,servicio al cliente,ventas_servicio,skill/competence,sector-specific,5,servicio al cliente; atención al cliente; customer service
ESCO-CR-007,manejo de cartera,ventas_servicio,skill/competence,sector-specific,5,manejo de cartera; cartera
ESCO-CR-008,seguimiento comercial,ventas_servicio,skill/competence,sector-specific,5,seguimiento comercial
ESCO-CR-009,demostración de productos,ventas_servicio,skill/competence,sector-specific,5,demostración de productos
ESCO-CR-010,degustación de productos,ventas_servicio,skill/competence,sector-specific,5,degustación de productos
ESCO-CR-011,promoción de ventas,ventas_servicio,skill/competence,sector-specific,5,promoción de ventas
ESCO-CR-012,activaciones comerciales,ventas_servicio,skill/competence,sector-specific,5,activaciones comerciales
ESCO-CR-013,merchandising,ventas_servicio,skill/competence,sector-specific,5,merchandising
ESCO-CR-014,acomodo de producto,ventas_servicio,skill/competence,sector-specific,5,acomodo de producto
ESCO-CR-015,inventario en punto de venta,ventas_servicio,skill/competence,sector-specific,5,inventario en punto de venta
ESCO-CR-016,caja registradora,ventas_servicio,skill/competence,sector-specific,5,caja registradora
ESCO-CR-017,cobro con datáfono,ventas_servicio,skill/competence,sector-specific,5,cobro con datáfono
ESCO-CR-018,manejo de efectivo,ventas_servicio,skill/competence,sector-specific,5,manejo de efectivo; efectivo
ESCO-CR-019,facturación al cliente,ventas_servicio,skill/competence,sector-specific,5,facturación al cliente
ESCO-CR-020,call center,ventas_servicio,skill/competence,sector-specific,5,call center
ESCO-CR-021,telemercadeo,ventas_servicio,skill/competence,sector-specific,5,telemercadeo
ESCO-CR-022,servicio bilingüe,ventas_servicio,skill/competence,sector-specific,5,servicio bilingüe
ESCO-CR-023,retención de clientes,ventas_servicio,skill/competence,sector-specific,5,retención de clientes
ESCO-CR-024,fidelización,ventas_servicio,skill/competence,sector-specific,5,fidelización
ESCO-CR-025,resolución de quejas,ventas_servicio,skill/competence,sector-specific,5,resolución de quejas
ESCO-CR-026,manejo de objeciones,ventas_comercio,skill/competence,sector-specific,5,manejo de objeciones; objeciones
ESCO-CR-027,cotizaciones,ventas_comercio,skill/competence,sector-specific,5,cotizaciones
ESCO-CR-028,cumplimiento de cuota,ventas_comercio,skill/competence,sector-specific,5,cumplimiento de cuota
ESCO-CR-029,ruteo de ventas,ventas_comercio,skill/competence,sector-specific,5,ruteo de ventas
ESCO-CR-030,visitas comerciales,ventas_comercio,skill/competence,sector-specific,5,visitas comerciales
ESCO-CR-031,negociación con clientes,ventas_comercio,skill/competence,sector-specific,5,negociación con clientes
ESCO-CR-032,asesoría de productos,ventas_comercio,skill/competence,sector-specific,5,asesoría de productos
ESCO-CR-033,venta de servicios,ventas_comercio,skill/competence,sector-specific,5,venta de servicios
ESCO-CR-034,ventas digitales,ventas_comercio,skill/competence,sector-specific,5,ventas digitales
ESCO-CR-035,CRM comercial,ventas_comercio,skill/competence,sector-specific,5,CRM comercial
ESCO-CR-036,seguimiento postventa,ventas_comercio,skill/competence,sector-specific,5,seguimiento postventa
ESCO-CR-037,experiencia del cliente,ventas_comercio,skill/competence,sector-specific,5,experiencia del cliente
ESCO-CR-038,gestión de leads,ventas_comercio,skill/competence,sector-specific,5,gestión de leads
ESCO-CR-039,campañas comerciales,ventas_comercio,skill/competence,sector-specific,5,campañas comerciales
ESCO-CR-040,promotoría,ventas_comercio,skill/competence,sector-specific,5,promotoría
ESCO-CR-041,vendedor de tienda,ventas_comercio,skill/competence,sector-specific,5,vendedor de tienda
ESCO-CR-042,vendedor a domicilio,ventas_comercio,skill/competence,sector-specific,5,vendedor a domicilio
ESCO-CR-043,asesor de ventas,ventas_comercio,skill/competence,sector-specific,5,asesor de ventas
ESCO-CR-044,agente de ventas,ventas_comercio,skill/competence,sector-specific,5,agente de ventas
ESCO-CR-045,reposición de góndola,ventas_comercio,skill/competence,sector-specific,5,reposición de góndola
ESCO-CR-046,lectura de planograma,ventas_comercio,skill/competence,sector-specific,5,lectura de planograma
ESCO-CR-047,control de precios,ventas_comercio,skill/competence,sector-specific,5,control de precios
ESCO-CR-048,servicio en mostrador,ventas_comercio,skill/competence,sector-specific,5,servicio en mostrador
ESCO-CR-049,apertura de cuentas,ventas_comercio,skill/competence,sector-specific,5,apertura de cuentas
ESCO-CR-050,gestión de reservas,ventas_comercio,skill/competence,sector-specific,5,gestión de reservas
ESCO-CR-051,adaptabilidad,transversal,skill/competence,transversal,5,adaptabilidad
ESCO-CR-052,aprendizaje continuo,transversal,skill/competence,transversal,5,aprendizaje continuo
ESCO-CR-053,pensamiento crítico,transversal,skill/competence,transversal,5,pensamiento crítico
ESCO-CR-054,resolución de problemas,transversal,skill/competence,transversal,5,resolución de problemas
ESCO-CR-055,toma de decisiones,transversal,skill/competence,transversal,5,toma de decisiones
ESCO-CR-056,trabajo en equipo,transversal,skill/competence,transversal,5,trabajo en equipo
ESCO-CR-057,responsabilidad,transversal,skill/competence,transversal,5,responsabilidad
ESCO-CR-058,puntualidad,transversal,skill/competence,transversal,5,puntualidad
ESCO-CR-059,organización del trabajo,transversal,skill/competence,transversal,5,organización del trabajo
ESCO-CR-060,gestión del tiempo,transversal,skill/competence,transversal,5,gestión del tiempo
ESCO-CR-061,atención al detalle,transversal,skill/competence,transversal,5,atención al detalle
ESCO-CR-062,iniciativa,transversal,skill/competence,transversal,5,iniciativa
ESCO-CR-063,proactividad,transversal,skill/competence,transversal,5,proactividad
ESCO-CR-064,ética laboral,transversal,skill/competence,transversal,5,ética laboral
ESCO-CR-065,confidencialidad,transversal,skill/competence,transversal,5,confidencialidad
ESCO-CR-066,orientación a resultados,transversal,skill/competence,transversal,5,orientación a resultados
ESCO-CR-067,manejo del estrés,transversal,skill/competence,transversal,5,manejo del estrés
ESCO-CR-068,autonomía,transversal,skill/competence,transversal,5,autonomía
