id,nombre,macrofamilia_id,macrofamilia,especializacion,nivel,modalidad_referencia,zona_referencia,keywords
MF-CR-0001,"Ingeniería civil, construcción y gestión de obra · ingeniero · Entrada / auxiliar",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",ingeniero,Entrada / auxiliar,Virtual,San José,"ingenieria_civil Ingeniería civil, construcción y gestión de obra ingeniero ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0002,"Ingeniería civil, construcción y gestión de obra · ingeniera · Asistente",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",ingeniera,Asistente,Híbrido,Cartago,"ingenieria_civil Ingeniería civil, construcción y gestión de obra ingeniera ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0003,"Ingeniería civil, construcción y gestión de obra · ingeniería · Técnico",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",ingeniería,Técnico,Campo,Limón,"ingenieria_civil Ingeniería civil, construcción y gestión de obra ingeniería ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0004,"Ingeniería civil, construcción y gestión de obra · ingeniero civil · Técnico certificado",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",ingeniero civil,Técnico certificado,Mixto,Guanacaste,"ingenieria_civil Ingeniería civil, construcción y gestión de obra ingeniero civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0005,"Ingeniería civil, construcción y gestión de obra · obra civil · Operativo especializado",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",obra civil,Operativo especializado,Presencial,Zona Sur,"ingenieria_civil Ingeniería civil, construcción y gestión de obra obra civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0006,"Ingeniería civil, construcción y gestión de obra · construcción · Analista junior",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",construcción,Analista junior,Virtual,San José,"ingenieria_civil Ingeniería civil, construcción y gestión de obra construcción ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0007,"Ingeniería civil, construcción y gestión de obra · obra · Analista",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",obra,Analista,Híbrido,Cartago,"ingenieria_civil Ingeniería civil, construcción y gestión de obra obra ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0008,"Ingeniería civil, construcción y gestión de obra · condominio · Analista senior",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",condominio,Analista senior,Campo,Limón,"ingenieria_civil Ingeniería civil, construcción y gestión de obra condominio ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0009,"Ingeniería civil, construcción y gestión de obra · condominios · Especialista",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",condominios,Especialista,Mixto,Guanacaste,"ingenieria_civil Ingeniería civil, construcción y gestión de obra condominios ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0010,"Ingeniería civil, construcción y gestión de obra · planos · Coordinador",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",planos,Coordinador,Presencial,Zona Sur,"ingenieria_civil Ingeniería civil, construcción y gestión de obra planos ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0011,"Ingeniería civil, construcción y gestión de obra · presupuesto de obra · Supervisor",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",presupuesto de obra,Supervisor,Virtual,San José,"ingenieria_civil Ingeniería civil, construcción y gestión de obra presupuesto de obra ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0012,"Ingeniería civil, construcción y gestión de obra · cronograma · Jefatura",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",cronograma,Jefatura,Híbrido,Cartago,"ingenieria_civil Ingeniería civil, construcción y gestión de obra cronograma ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0013,"Ingeniería civil, construcción y gestión de obra · contratistas · Consultor",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",contratistas,Consultor,Campo,Limón,"ingenieria_civil Ingeniería civil, construcción y gestión de obra contratistas ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0014,"Ingeniería civil, construcción y gestión de obra · cfia · Gestor",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",cfia,Gestor,Mixto,Guanacaste,"ingenieria_civil Ingeniería civil, construcción y gestión de obra cfia ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0015,"Ingeniería civil, construcción y gestión de obra · residente de obra · Instructor / formador",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",residente de obra,Instructor / formador,Presencial,Zona Sur,"ingenieria_civil Ingeniería civil, construcción y gestión de obra residente de obra ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0016,"Ingeniería civil, construcción y gestión de obra · supervision de obra · Control de calidad",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",supervision de obra,Control de calidad,Virtual,San José,"ingenieria_civil Ingeniería civil, construcción y gestión de obra supervision de obra ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0017,"Ingeniería civil, construcción y gestión de obra · supervisión de obra · Datos y reportes",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",supervisión de obra,Datos y reportes,Híbrido,Cartago,"ingenieria_civil Ingeniería civil, construcción y gestión de obra supervisión de obra ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0018,"Ingeniería civil, construcción y gestión de obra · autocad · Herramientas digitales",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",autocad,Herramientas digitales,Campo,Limón,"ingenieria_civil Ingeniería civil, construcción y gestión de obra autocad ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
MF-CR-0019,"Ingeniería civil, construcción y gestión de obra · revit · Proyectos",ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",revit,Proyectos,Mixto,Guanacaste,"ingenieria_civil Ingeniería civil, construcción y gestión de obra revit ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio"
