id,nombre,familia_id,familia,microfamilia_id,microfamilia,nivel,tipo_perfil,zona_referencia,modalidad_referencia,competencias_clave,certificaciones_sugeridas,educacion_minima,experiencia_sugerida,palabras_clave,perfiles_similares
PER-CR-0001,Auxiliar de ingeniero,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0001,ingeniero · Entrada / auxiliar,Entrada / auxiliar,Operativo,San José,Virtual,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Auxiliar de ingeniero ingeniero Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0002,Asistente de ingeniera,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0002,ingeniera · Asistente,Asistente,Técnico inicial,Cartago,Híbrido,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,0-1 año,"Asistente de ingeniera ingeniera Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0003,Técnico/a en ingeniería,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0003,ingeniería · Técnico,Técnico,Técnico,Limón,Campo,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a en ingeniería ingeniería Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0004,Técnico/a certificado/a en ingeniero civil,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0004,ingeniero civil · Técnico certificado,Técnico certificado,Técnico certificado,Guanacaste,Mixto,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Técnico/a certificado/a en ingeniero civil ingeniero civil Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0005,Operador/a especializado/a en obra civil,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0005,obra civil · Operativo especializado,Operativo especializado,Operativo especializado,Zona Sur,Presencial,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Operador/a especializado/a en obra civil obra civil Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0006,Analista junior de construcción,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0006,construcción · Analista junior,Analista junior,Técnico avanzado,San José,Virtual,ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion; construcción,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista junior de construcción construcción Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0007,Analista de obra,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0007,obra · Analista,Analista,Técnico avanzado,Cartago,Híbrido,obra; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista de obra obra Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0008,Analista senior de condominio,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0008,condominio · Analista senior,Analista senior,Profesional,Limón,Campo,condominio; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,1-3 años,"Analista senior de condominio condominio Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0009,Especialista en condominios,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0009,condominios · Especialista,Especialista,Profesional / técnico avanzado,Guanacaste,Mixto,condominios; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Especialista en condominios condominios Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0010,Coordinador/a de planos,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0010,planos · Coordinador,Coordinador,Coordinación,Zona Sur,Presencial,planos; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Coordinador/a de planos planos Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0011,Supervisor/a de presupuesto de obra,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0011,presupuesto de obra · Supervisor,Supervisor,Supervisión,San José,Virtual,presupuesto de obra; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Supervisor/a de presupuesto de obra presupuesto de obra Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0012,Jefatura de cronograma,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0012,cronograma · Jefatura,Jefatura,Jefatura,Cartago,Híbrido,cronograma; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Jefatura de cronograma cronograma Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0013,Consultor/a de contratistas,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0013,contratistas · Consultor,Consultor,Consultoría,Limón,Campo,contratistas; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Consultor/a de contratistas contratistas Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0014,Gestor/a de cfia,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0014,cfia · Gestor,Gestor,Gestión,Guanacaste,Mixto,cfia; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Gestor/a de cfia cfia Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0015,Instructor/a de residente de obra,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0015,residente de obra · Instructor / formador,Instructor / formador,Formación,Zona Sur,Presencial,residente de obra; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Instructor/a de residente de obra residente de obra Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0016,Inspector/a de calidad en supervision de obra,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0016,supervision de obra · Control de calidad,Control de calidad,Calidad,San José,Virtual,supervision de obra; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Inspector/a de calidad en supervision de obra supervision de obra Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
PER-CR-0017,Analista de datos y reportes de supervisión de obra,ingenieria_civil,"Ingeniería civil, construcción y gestión de obra",MF-CR-0017,supervisión de obra · Datos y reportes,Datos y reportes,Datos / analítica,Cartago,Híbrido,supervisión de obra; ingeniero; ingeniera; ingenieria; ingeniería; ingeniero civil; obra civil; construccion,Curso INA/MEP/educación continua relacionado; verificar CONESUP/SINAES cuando aplique,Según puesto: primaria/secundaria/técnico/diplomado/universitario,3+ años,"Analista de datos y reportes de supervisión de obra supervisión de obra Ingeniería civil, construcción y gestión de obra ingenieria_civil ingeniero ingeniera ingenieria ingeniería ingeniero civil obra civil construccion construcción obra condominio condominios planos presupuesto de obra cronograma contratistas",
